enzyme,substrates,products,genes_id
1.5.3.16,"['C00750', 'C00007', 'C00001']","['C00315', 'C05665', 'C00027']",['54498']
1.5.3.7,"['C00408', 'C00007']","['C00450', 'C00027']",['51268']
1.5.5.1,"['C04570', 'C00399']","['C04253', 'C00390']",['2110']
1.5.5.2,"['C00148', 'C15602']","['C03912', 'C15603']",['5625']
1.5.5.3,"['C01157', 'C00472']","['C04281', 'C00530']",['58510']
1.5.8.3,"['C00213', 'C00101', 'C04253']","['C00037', 'C00143', 'C04570']",['1757']
1.5.8.4,"['C01026', 'C00101', 'C04253']","['C00213', 'C00143', 'C04570']",['29958']
1.6.1.2,"['C00005', 'C00003']","['C00006', 'C00004']",['23530']
1.6.2.2,"['C00004', 'C00996']","['C00003', 'C00080', 'C00999']","['1727', '51167', '51700', '51706', '606495']"
1.6.2.4,"['C00005', 'C00080']",['C00006'],['5447']
1.6.3.1,"['C00004', 'C00005', 'C00080', 'C00007']","['C00003', 'C00006', 'C00027']","['50506', '53905']"
1.6.3.5,"['C21423', 'C00080', 'C00007', 'C21424']","['C00003', 'C00006', 'C00027']",['55328']
1.6.5.2,"['C00004', 'C00005', 'C00080', 'C15602']","['C00003', 'C00006', 'C15603']",['1728']
1.6.5.5,"['C00005', 'C00080', 'C15602']","['C00006', 'C05309']",['1429']
1.7.1.7,"['C00130', 'C00014', 'C00006']","['C00144', 'C00005', 'C00080']","['2766', '51292']"
1.8.1.4,"['C16832', 'C00003']","['C16237', 'C00004', 'C00080']",['1738']
1.8.1.7,"['C00051', 'C00006']","['C00127', 'C00005', 'C00080']",['2936']
1.8.1.8,"['C02315', 'C00003', 'C00006']","['C02582', 'C00004', 'C00005', 'C00080']","['158046', '64359']"
1.8.1.9,"['C00342', 'C00006']","['C00343', 'C00005', 'C00080']","['10587', '114112', '7296']"
1.8.3.1,"['C00094', 'C00007', 'C00001']","['C00059', 'C00027']",['6821']
1.8.3.2,"['C01525', 'C00007']","['C02318', 'C00027']","['169714', '2671', '5768']"
1.8.3.4,"['C00409', 'C00007', 'C00001']","['C00067', 'C00283', 'C00027']",['8991']
1.8.3.5,"['C06751', 'C00007', 'C00001']","['C07330', 'C00097', 'C00027']",['51449']
1.8.3.6,"['C19691', 'C00007', 'C00001']","['C03461', 'C00097', 'C00027']",['51449']
1.8.3.7,"['C21740', 'C00007']","['C21741', 'C00283', 'C15496', 'C00001']",['285362']
1.8.4.11,"['C03023', 'C00343', 'C00001', 'C00073']","['C03895', 'C00342', 'C15999']",['4482']
1.8.4.12,"['C03023', 'C00343', 'C00001']","['C15653', 'C00342']","['22921', '253827', '51734']"
1.8.4.2,"['C00051', 'C02582']","['C00127', 'C02315']",['51060']
1.8.5.8,"['C00283', 'C00051', 'C15602']","['C17267', 'C15603']",['58472']
1.8.98.2,"['C00002', 'C01336']","['C00008', 'C00009']",['140809']
2.1.1.1,"['C00019', 'C00153']","['C00021', 'C02918']",['4837']
2.1.1.10,"['C03172', 'C00155']",['C00073'],['23743']
2.1.1.100,"['C00019', 'C04506']","['C00021', 'C04748']",['23463']
2.1.1.114,"['C00019', 'C17554']","['C00021', 'C17559']",['51805']
2.1.1.13,"['C00440', 'C00155']","['C00101', 'C00073']",['4548']
2.1.1.137,"['C00019', 'C22431', 'C00342', 'C00001']","['C00021', 'C07295', 'C00051', 'C00343', 'C20300', 'C22417']",['57412']
2.1.1.166,['C00019'],['C00021'],['29960']
2.1.1.17,"['C00019', 'C00350']","['C00021', 'C01241']",['10400']
2.1.1.183,['C00019'],['C00021'],['27292']
2.1.1.2,"['C00019', 'C00581']","['C00021', 'C00300']",['2593']
2.1.1.20,"['C00019', 'C00037']","['C00021', 'C00213']",['27232']
2.1.1.201,"['C00019', 'C19858']","['C00021', 'C19859']",['84274']
2.1.1.203,['C00019'],['C00021'],['54888']
2.1.1.204,['C00019'],['C00021'],['1787']
2.1.1.205,['C00019'],['C00021'],['24140']
2.1.1.211,['C00019'],['C00021'],['152992']
2.1.1.214,['C00019'],['C00021'],['60487']
2.1.1.215,['C00019'],['C00021'],['55621']
2.1.1.216,['C00019'],['C00021'],['55621']
2.1.1.219,['C00019'],['C00021'],"['115708', '55006']"
2.1.1.22,"['C00019', 'C00386']","['C00021', 'C01262']",['138199']
2.1.1.220,['C00019'],['C00021'],"['115708', '55006']"
2.1.1.221,['C00019'],['C00021'],"['158234', '93587']"
2.1.1.225,['C00019'],['C00021'],['54482']
2.1.1.228,['C00019'],['C00021'],['57570']
2.1.1.229,['C00019'],['C00021'],['91801']
2.1.1.233,['C00019'],['C00021'],['51451']
2.1.1.244,['C00019'],['C00021'],['28989']
2.1.1.260,['C00019'],['C00021'],['10436']
2.1.1.28,"['C00019', 'C02735']","['C00021', 'C03711']",['5409']
2.1.1.282,['C00019'],['C00021'],['127253']
2.1.1.286,['C00019'],['C00021'],['154743']
2.1.1.287,['C00019'],['C00021'],['23378']
2.1.1.290,['C00019'],['C00021'],['9836']
2.1.1.296,['C00019'],['C00021'],['55783']
2.1.1.297,['C00019'],['C00021'],"['29104', '51409']"
2.1.1.299,['C00019'],['C00021'],['149281']
2.1.1.309,['C00019'],['C00021'],['114049']
2.1.1.310,['C00019'],['C00021'],['4839']
2.1.1.311,['C00019'],['C00021'],['55695']
2.1.1.314,"['C00019', 'C04441']","['C00021', 'C21151']",['51611']
2.1.1.319,"['C00019', 'C00613', 'C04143']","['C00021', 'C21188', 'C04143']","['10196', '10498', '3275', '3276', '55170', '56341']"
2.1.1.320,"['C00019', 'C00613', 'C04143']","['C00021', 'C21189', 'C04143']","['10419', '90826']"
2.1.1.321,"['C00019', 'C00613']",['C00021'],['54496']
2.1.1.33,['C00019'],['C00021'],['4234']
2.1.1.34,['C00019'],['C00021'],['6894']
2.1.1.346,"['C00019', 'C21798']","['C00021', 'C21799']",['79066']
2.1.1.348,"['C00019', 'C21844']","['C00021', 'C21845']",['56339']
2.1.1.35,['C00019'],['C00021'],['79979']
2.1.1.354,['C00019'],['C00021'],"['11105', '150572', '23067', '4297', '55870', '55904', '56950', '56979', '58508', '64754', '8085', '9739', '9757']"
2.1.1.355,['C00019'],['C00021'],"['10919', '6839', '7799', '79723', '79813', '83852']"
2.1.1.356,['C00019'],['C00021'],"['2145', '2146']"
2.1.1.357,['C00019'],['C00021'],"['150572', '56950', '6419', '64324', '64754', '7468']"
2.1.1.359,['C00019'],['C00021'],['29072']
2.1.1.360,['C00019'],['C00021'],['84444']
2.1.1.361,['C00019'],['C00021'],"['387893', '93166']"
2.1.1.362,['C00019'],['C00021'],"['51111', '84787']"
2.1.1.364,['C00019'],['C00021'],['80854']
2.1.1.366,['C00019'],['C00021'],['9869']
2.1.1.367,['C00019'],['C00021'],"['2122', '63976']"
2.1.1.37,['C00019'],"['C00021', 'C02967']","['1786', '1788', '1789']"
2.1.1.370,['C00019'],['C00021'],['54904']
2.1.1.371,['C00019'],['C00021'],['54904']
2.1.1.386,['C00019'],['C00021'],['113802']
2.1.1.4,"['C00019', 'C00978']","['C00021', 'C01598']",['438']
2.1.1.45,"['C00143', 'C00365']","['C00415', 'C00364']",['7298']
2.1.1.49,"['C00019', 'C00706']","['C00021', 'C02436']",['11185']
2.1.1.5,"['C00719', 'C00155']","['C01026', 'C00073']",['635']
2.1.1.56,"['C00019', 'C02031']","['C00021', 'C02339']",['8731']
2.1.1.57,['C00019'],['C00021'],['23070']
2.1.1.6,"['C00019', 'C15571']","['C00021', 'C15572']","['1312', '220074']"
2.1.1.60,"['C00019', 'C02816']","['C00021', 'C03941']",['79823']
2.1.1.63,"['C04250', 'C02743', 'C00039']","['C00039', 'C03800']",['4255']
2.1.1.64,"['C00019', 'C21860']","['C00021', 'C00390']",['51805']
2.1.1.67,"['C00019', 'C01756']","['C00021', 'C16614']",['7172']
2.1.1.71,"['C00019', 'C01241']","['C00021', 'C04308']",['10400']
2.1.1.72,"['C00019', 'C00821']","['C00021', 'C03391']",['64863']
2.1.1.77,"['C00019', 'C03306']","['C00021', 'C04311']",['5110']
2.1.1.8,"['C00019', 'C00388']","['C00021', 'C05127']",['3176']
2.1.1.85,"['C00019', 'C00615']",['C00021'],['84193']
2.1.1.96,"['C00019', 'C00580']","['C00021', 'C01008']",['11185']
2.1.2.1,"['C00143', 'C00037', 'C00001']","['C00101', 'C00065']","['6470', '6472']"
2.1.2.10,"['C01242', 'C00101']","['C00143', 'C00014']",['275']
2.1.2.2,"['C00234', 'C03838']","['C00101', 'C04376']",['2618']
2.1.2.3,"['C00234', 'C04677']","['C00101', 'C04734']",['471']
2.1.2.5,"['C00664', 'C00025']","['C00101', 'C00439']",['10841']
2.1.2.9,['C00234'],['C00101'],['123263']
2.1.3.15,"['C04419', 'C00024']","['C06250', 'C00083']","['31', '32', '5096']"
2.1.3.2,"['C00169', 'C00049']","['C00009', 'C00438']",['790']
2.1.3.3,"['C00169', 'C00077']","['C00009', 'C00327']",['5009']
2.1.4.1,"['C00062', 'C00037']","['C00077', 'C00581']",['2628']
2.10.1.1,"['C19848', 'C06232']","['C18237', 'C00020', 'C00001']",['10243']
2.2.1.1,"['C05382', 'C00118']","['C00117', 'C00231']","['7086', '8277', '84076']"
2.2.1.2,"['C05382', 'C00118']","['C00279', 'C00085']",['6888']
2.3.1.1,"['C00024', 'C00025']","['C00010', 'C00624']",['162417']
2.3.1.108,"['C00024', 'C03318']","['C00010', 'C04149']",['79969']
2.3.1.12,"['C00024', 'C15973']","['C00010', 'C16255']",['1737']
2.3.1.13,"['C00040', 'C00037']","['C00010', 'C02055']","['10249', '219970']"
2.3.1.135,['C00157'],[],['9227']
2.3.1.137,"['C01944', 'C00318']","['C00010', 'C02838']",['54677']
2.3.1.15,"['C00040', 'C00093']","['C00010', 'C00681']","['137964', '150763', '57678', '84803']"
2.3.1.16,"['C00040', 'C00024']","['C00010', 'C00264']","['10449', '30', '3032']"
2.3.1.168,"['C00630', 'C15973']","['C00010', 'C15977']",['1629']
2.3.1.17,"['C00024', 'C00049']","['C00010', 'C01042']",['339983']
2.3.1.176,"['C01794', 'C00100']","['C00010', 'C05467']",['6342']
2.3.1.179,['C01209'],"['C00011', 'C00229']",['54995']
2.3.1.181,"['C05752', 'C16240']","['C16236', 'C00229']",['387787']
2.3.1.199,"['C20876', 'C00083']","['C20877', 'C00011', 'C00010']","['54898', '60481', '64834', '6785', '79071', '79993', '83401']"
2.3.1.20,"['C00040', 'C00641']","['C00010', 'C00422']","['346606', '84649', '8694']"
2.3.1.21,"['C00154', 'C00318']","['C00010', 'C02990']","['126129', '1374', '1375', '1376']"
2.3.1.22,"['C00040', 'C02112']","['C00010', 'C00165']","['116255', '346606', '80168']"
2.3.1.225,"['C00154', 'C02743']",['C00010'],"['131540', '158866', '23390', '253832', '254359', '254887', '25921', '283576', '29800', '29801', '340481', '51114', '51201', '51304', '54503', '55146', '55625', '64429', '653082', '79683', '79844', '84243', '84287', '84885']"
2.3.1.23,"['C00040', 'C04230']","['C00010', 'C00157']","['10162', '254531', '54947', '79888']"
2.3.1.231,"['C00019', 'C00011']",['C00021'],['9836']
2.3.1.234,"['C20641', 'C17324']","['C00020', 'C20751']","['55644', '64172']"
2.3.1.250,"['C21072', 'C21172']","['C00010', 'C21171']",['64840']
2.3.1.254,['C00024'],['C00010'],['51126']
2.3.1.255,"['C00024', 'C02038']",['C00010'],"['8260', '84779']"
2.3.1.256,['C00024'],['C00010'],['122830']
2.3.1.257,['C00024'],['C00010'],['79829']
2.3.1.258,['C00024'],['C00010'],['80218']
2.3.1.259,['C00024'],['C00010'],['79903']
2.3.1.26,"['C02843', 'C00370']","['C00010', 'C22215']","['6646', '8435']"
2.3.1.286,"['C20743', 'C00003', 'C00001']","['C02188', 'C00153']","['22933', '23408', '23409', '23410', '23411', '51547', '51548']"
2.3.1.29,"['C00024', 'C00037']","['C00010', 'C03508']",['23464']
2.3.1.291,['C00154'],['C00010'],"['253782', '91012']"
2.3.1.296,[],[],['285848']
2.3.1.297,[],['C00010'],"['204219', '29956', '79603']"
2.3.1.298,[],['C00010'],['204219']
2.3.1.299,['C00412'],['C00010'],['10715']
2.3.1.308,"['C00024', 'C22490']","['C22491', 'C00010']",['26151']
2.3.1.309,['C00024'],['C00010'],['80218']
2.3.1.311,"['C00024', 'C00019', 'C00001']","['C00010', 'C00073', 'C05198']",['55140']
2.3.1.33,"['C00024', 'C00135']","['C00010', 'C02997']",['375607']
2.3.1.37,"['C00091', 'C00037']","['C00430', 'C00010', 'C00011']","['211', '212']"
2.3.1.39,"['C00083', 'C00229']","['C00010', 'C01209']",['27349']
2.3.1.4,"['C00024', 'C00352']","['C00010', 'C00357']",['64841']
2.3.1.42,"['C00040', 'C00111']","['C00010', 'C03372']",['8443']
2.3.1.43,"['C00157', 'C00370']","['C04230', 'C01958']",['3931']
2.3.1.45,"['C00024', 'C00270']","['C00010', 'C04016', 'C04017']",['64921']
2.3.1.48,"['C00024', 'C02188']","['C00010', 'C20743']","['10524', '10724', '11143', '124359', '138474', '1387', '2033', '203611', '23522', '253175', '2648', '6872', '7994', '8202', '84148', '8520', '8648', '8850', '8888', '9085', '9329', '9425', '9426', '9575']"
2.3.1.5,"['C00024', 'C00292']","['C00010', 'C07565']","['10', '9']"
2.3.1.50,"['C00154', 'C00065']","['C00010', 'C02934', 'C00011']","['10558', '55304', '9517']"
2.3.1.51,"['C00040', 'C00681']","['C00010', 'C00416']","['10554', '10555', '129642', '154141', '253558', '51099', '55326', '56894', '56895']"
2.3.1.57,"['C00024', 'C03687']","['C00010', 'C02297']","['112483', '6303']"
2.3.1.6,"['C00024', 'C00114']","['C00010', 'C01996']",['1103']
2.3.1.61,"['C00091', 'C15973']","['C00010', 'C16254']",['1743']
2.3.1.65,"['C01794', 'C00037']","['C00010', 'C01921']",['570']
2.3.1.67,"['C00024', 'C04317']","['C00010', 'C04598']","['54947', '79888']"
2.3.1.68,"['C00040', 'C00064']","['C00010', 'C02716']","['100287520', '92292']"
2.3.1.7,"['C00024', 'C00487']","['C00010', 'C02571']",['1384']
2.3.1.71,"['C00512', 'C00037']","['C00010', 'C01586']",['10249']
2.3.1.75,"['C00040', 'C00339']","['C00010', 'C02434']","['158833', '158835', '84649', '8694']"
2.3.1.76,"['C00040', 'C00473']","['C00010', 'C02075']","['158835', '8694']"
2.3.1.78,"['C00024', 'C04384']","['C00010', 'C04649']",['138050']
2.3.1.80,"['C00024', 'C02882']",['C00010'],['9027']
2.3.1.85,"['C00024', 'C00083', 'C00005', 'C00080']","['C00638', 'C00010', 'C00011', 'C00006']",['2194']
2.3.1.87,"['C00024', 'C15534']","['C00010', 'C15535']",['15']
2.3.1.9,['C00024'],"['C00010', 'C00332']","['38', '39']"
2.3.1.97,"['C02593', 'C02038']","['C00010', 'C03881']","['4836', '9397']"
2.3.2.13,"['C02583', 'C01664']","['C03636', 'C00014']","['116179', '2162', '343641', '7047', '7051', '7052', '7053', '9333']"
2.3.2.2,"['C03193', 'C00045']","['C00012', 'C03363']","['124975', '2678', '2686', '2687']"
2.3.2.23,[],[],"['10477', '11065', '118424', '134111', '148581', '27338', '29089', '3093', '389898', '51465', '51619', '54926', '55585', '57448', '65264', '7319', '7320', '7321', '7322', '7323', '7324', '7325', '7326', '7327', '7328', '7332', '7334', '9246', '92912', '997']"
2.3.2.24,[],[],['63893']
2.3.2.25,[],[],['55284']
2.3.2.26,[],[],"['10075', '11059', '11060', '143279', '23072', '23327', '25831', '26091', '283450', '4734', '51366', '55632', '57154', '57520', '57531', '64750', '7337', '79654', '83737', '8916', '8924', '8925', '89910', '90025', '9320', '9690', '9870']"
2.3.2.27,[],[],"['10155', '10193', '10206', '10210', '10273', '10277', '10293', '10299', '10475', '11043', '11074', '11236', '11342', '113878', '114804', '115123', '115426', '115992', '130507', '131405', '140691', '142678', '147040', '148066', '149095', '149603', '151112', '151636', '152006', '153769', '153830', '158506', '162333', '168433', '1840', '1877', '196403', '197131', '197370', '220441', '220972', '221687', '222484', '223082', '22838', '22954', '23024', '23220', '23295', '23304', '23338', '23352', '23608', '23609', '23624', '246330', '257218', '25893', '25898', '26001', '26046', '27246', '27339', '284996', '285671', '29116', '29128', '29951', '331', '344558', '373', '378884', '399664', '4193', '4281', '441061', '4591', '4850', '494470', '51127', '51132', '51136', '51255', '51257', '51320', '51444', '51588', '51592', '54492', '54546', '54708', '54778', '54894', '54941', '55016', '55120', '55128', '55148', '55159', '55182', '55223', '55521', '55658', '55743', '55819', '55905', '56254', '56658', '56852', '56888', '57161', '57162', '57534', '57574', '57630', '57674', '57820', '5896', '5930', '5987', '6015', '6045', '6047', '6048', '6049', '63891', '64219', '64320', '64326', '64718', '6477', '64777', '6478', '64795', '64844', '6596', '672', '6737', '7186', '7189', '7267', '7681', '7706', '7732', '7844', '79102', '79589', '79594', '79596', '79872', '80829', '81559', '81603', '81790', '81844', '81847', '8315', '84133', '84206', '84231', '84282', '84447', '84676', '84708', '84937', '85363', '867', '868', '8805', '89122', '9025', '90678', '90850', '90933', '91445', '9148', '92305', '92312', '92979', '93082', '9354', '9666', '9810', '9867']"
2.3.2.31,[],[],"['10425', '10616', '117584', '127544', '138065', '154214', '165918', '254225', '255488', '25820', '25897', '5071', '54467', '54476', '55072', '80196', '9604', '9781']"
2.3.2.32,[],[],['9978']
2.3.2.33,[],[],['23077']
2.3.2.34,[],[],"['140739', '9040']"
2.3.2.36,[],[],['267']
2.3.2.5,['C02986'],"['C02805', 'C00014']","['25797', '54814']"
2.3.2.8,"['C02163', 'C00017']","['C01636', 'C16739']",['11101']
2.3.3.1,"['C00024', 'C00001', 'C00036']","['C00158', 'C00010']",['1431']
2.3.3.10,"['C00024', 'C00001', 'C00332']","['C00356', 'C00010']","['3157', '3158']"
2.3.3.8,"['C00008', 'C00009', 'C00024', 'C00036']","['C00002', 'C00158', 'C00010']",['47']
2.4.1.1,['C00009'],['C00103'],"['5834', '5836', '5837']"
2.4.1.101,['C00043'],['C00015'],['4245']
2.4.1.102,['C00043'],['C00015'],['2650']
2.4.1.109,['C03862'],"['C00110', 'C20722']","['10585', '29954']"
2.4.1.11,['C00029'],['C00015'],"['2997', '2998']"
2.4.1.117,"['C00029', 'C00110']","['C00015', 'C01246']",['29880']
2.4.1.122,"['C00052', 'C04387']","['C00015', 'C04750']",['56913']
2.4.1.131,['C00096'],['C00035'],['440138']
2.4.1.132,['C00096'],['C00035'],['85365']
2.4.1.133,['C00052'],['C00015'],['11285']
2.4.1.134,['C00052'],"['C00015', 'C04825']",['126792']
2.4.1.135,"['C00167', 'C04825']","['C00015', 'C04903']","['135152', '26229', '27087']"
2.4.1.141,['C00043'],['C00015'],"['199857', '79868']"
2.4.1.142,['C00096'],['C00035'],['56052']
2.4.1.143,['C00043'],['C00015'],['4247']
2.4.1.144,['C00043'],['C00015'],['4248']
2.4.1.145,['C00043'],['C00015'],"['11282', '11320', '152586', '25834']"
2.4.1.146,['C00043'],['C00015'],['10331']
2.4.1.147,['C00043'],['C00015'],['192134']
2.4.1.149,"['C00043', 'C00694']","['C00015', 'C04890']","['10331', '10678', '79369']"
2.4.1.150,"['C00043', 'C21742']","['C00015', 'C21743']",['2651']
2.4.1.152,"['C00325', 'C00694']","['C00035', 'C01311']",['10690']
2.4.1.155,['C00043'],['C00015'],['4249']
2.4.1.17,"['C00167', 'C19645']","['C00015', 'C19646']","['10720', '10941', '54490', '54575', '54576', '54577', '54578', '54579', '54600', '54657', '54658', '54659', '574537', '7363', '7364', '7365', '7366', '7367', '79799']"
2.4.1.174,"['C00203', 'C04903']",['C00015'],"['55454', '55790']"
2.4.1.175,"['C00203', 'C04800']","['C00015', 'C04913']","['22856', '337876', '55454', '55790', '79586']"
2.4.1.186,"['C00029', 'C01702']","['C00015', 'C02687']","['2992', '8908']"
2.4.1.198,"['C00043', 'C01194']","['C00015', 'C01288']",['5277']
2.4.1.201,['C00043'],['C00015'],['25834']
2.4.1.206,"['C00043', 'C01290']","['C00015', 'C04845']",['84002']
2.4.1.212,"['C00043', 'C00167']",['C00015'],"['3036', '3037', '3038']"
2.4.1.22,"['C00052', 'C00031']","['C00015', 'C00243']","['2683', '3906', '8704']"
2.4.1.221,['C00325'],['C00035'],"['23275', '23509']"
2.4.1.222,['C00043'],['C00015'],"['3955', '4242', '5986']"
2.4.1.223,"['C00043', 'C04903']","['C00015', 'C15656']","['2135', '2137']"
2.4.1.224,['C00043'],['C00015'],"['2131', '2132', '2134', '2137']"
2.4.1.225,['C00167'],['C00015'],"['2131', '2132']"
2.4.1.226,['C00167'],"['C00015', 'C04800']","['22856', '337876', '54480', '79586']"
2.4.1.228,"['C00052', 'C01290']","['C00015', 'C04737']",['53947']
2.4.1.244,['C00203'],['C00015'],"['283358', '338707']"
2.4.1.255,"['C00043', 'C02189', 'C19803']","['C00015', 'C19802', 'C19804']","['285203', '8473']"
2.4.1.256,['C01246'],['C00110'],"['144245', '84920']"
2.4.1.257,['C00096'],['C00035'],['85365']
2.4.1.258,['C03862'],['C00110'],['10195']
2.4.1.259,['C03862'],['C00110'],['79796']
2.4.1.260,['C03862'],['C00110'],['79087']
2.4.1.261,['C03862'],['C00110'],['79796']
2.4.1.265,['C01246'],['C00110'],['79053']
2.4.1.267,['C01246'],['C00110'],['29929']
2.4.1.274,"['C00052', 'C01190']","['C00015', 'C01290']","['9331', '9334']"
2.4.1.275,"['C00052', 'C04845']","['C00015', 'C04922']",['8702']
2.4.1.312,"['C00043', 'C20722']","['C00015', 'C20723']",['84892']
2.4.1.313,"['C00203', 'C20723']","['C00015', 'C20734']",['148789']
2.4.1.37,"['C00052', 'C04648']","['C00015', 'C04866']",['28']
2.4.1.376,['C00029'],['C00015'],['56983']
2.4.1.38,['C00052'],['C00015'],"['2683', '8703', '8704']"
2.4.1.40,['C00203'],"['C00015', 'C06483']",['28']
2.4.1.41,"['C00203', 'C02189', 'C19803']",['C00015'],"['100528030', '11226', '11227', '114805', '117248', '168391', '2589', '2590', '2591', '26290', '374378', '442117', '50614', '51809', '55568', '57452', '63917', '64409', '79623', '79695', '8693']"
2.4.1.47,"['C00052', 'C00195']",['C00015'],['7368']
2.4.1.50,['C00052'],['C00015'],"['23127', '79709', '8985']"
2.4.1.62,['C00052'],['C00015'],['8705']
2.4.1.65,"['C00325', 'C04656']","['C00035', 'C04850']","['2525', '2527', '2528']"
2.4.1.66,['C00029'],['C00015'],['8985']
2.4.1.68,['C00325'],['C00035'],['2530']
2.4.1.69,"['C00325', 'C04656']",['C00035'],"['2523', '2524']"
2.4.1.79,"['C00203', 'C04737']",['C00015'],['8706']
2.4.1.80,"['C00029', 'C00195']","['C00015', 'C01190']",['7357']
2.4.1.83,"['C00096', 'C00110']","['C00035', 'C03862']",['8813']
2.4.1.86,"['C00052', 'C03518']","['C00015', 'C04656']","['8707', '8708']"
2.4.1.87,['C00052'],"['C00015', 'C04855']",['127550']
2.4.1.88,['C00203'],['C00015'],['26301']
2.4.1.90,"['C00052', 'C00140']","['C00015', 'C00611']","['2683', '8702', '8703', '8704']"
2.4.1.92,['C00203'],['C00015'],['2583']
2.4.2.1,"['C15586', 'C00009', 'C20463']","['C15587', 'C00620', 'C00672']","['144811', '4860']"
2.4.2.10,"['C01103', 'C00013']","['C00295', 'C00119']",['7372']
2.4.2.12,"['C00455', 'C00013']","['C00153', 'C00119']",['10135']
2.4.2.14,"['C03090', 'C00013', 'C00025']","['C00064', 'C00119', 'C00001']",['5471']
2.4.2.19,"['C01185', 'C00013', 'C00011']","['C03722', 'C00119']",['23475']
2.4.2.26,"['C00190', 'C02189']",['C00015'],"['64131', '64132']"
2.4.2.28,"['C00170', 'C00009']","['C00147', 'C04188']","['144811', '4507']"
2.4.2.3,"['C00299', 'C00009']","['C00106', 'C00620']","['151531', '7378']"
2.4.2.30,"['C00003', 'C03245']","['C00153', 'C03245', 'C00080']","['10038', '10039', '142', '143', '165631', '25976', '54625', '54956', '56829', '56965', '57097', '64761', '79668', '80351', '83666', '84875', '8658']"
2.4.2.31,['C00003'],"['C00153', 'C16011']","['116969', '417', '419', '420']"
2.4.2.4,"['C00214', 'C00009']","['C00178', 'C00672']",['1890']
2.4.2.42,['C00190'],['C00015'],"['283464', '727936']"
2.4.2.61,['C00190'],['C00015'],['10329']
2.4.2.62,['C00190'],['C00015'],['152002']
2.4.2.63,['C00190'],['C00015'],['56983']
2.4.2.64,['C01449'],['C00242'],['81890']
2.4.2.7,"['C00020', 'C00013']","['C00147', 'C00119']",['353']
2.4.2.8,"['C00130', 'C00013']","['C00262', 'C00119']",['3251']
2.4.3.1,"['C00128', 'C02900']",['C00055'],"['6480', '84620']"
2.4.3.2,"['C00128', 'C16177']","['C00055', 'C15939']","['6482', '6483', '6484']"
2.4.3.3,['C00128'],['C00055'],"['10610', '55808']"
2.4.3.4,"['C00128', 'C04750']",['C00055'],"['6482', '6483', '6484']"
2.4.3.6,"['C00128', 'C00694']",['C00055'],"['10402', '6484', '6487']"
2.4.3.7,"['C00128', 'C04885']","['C00055', 'C04926']","['256435', '27090']"
2.4.3.8,['C00128'],['C00055'],['6489']
2.4.3.9,"['C00128', 'C01290']",['C00055'],['8869']
2.4.99.18,['C04213'],['C00621'],"['201595', '3703']"
2.4.99.20,"['C00006', 'C00253', 'C20742']","['C13051', 'C00153', 'C20742']","['683', '952']"
2.5.1.1,"['C00235', 'C00129']","['C00013', 'C00341']","['2224', '9453']"
2.5.1.10,"['C00341', 'C00129']","['C00013', 'C00448']","['2224', '9453']"
2.5.1.108,"['C00019', 'C20663']","['C00170', 'C04441']",['1801']
2.5.1.114,['C00019'],['C00170'],['55039']
2.5.1.132,"['C00074', 'C00275', 'C00001']","['C21383', 'C00009']",['54187']
2.5.1.141,"['C00448', 'C00032', 'C00001']",['C00013'],['1352']
2.5.1.151,"['C06453', 'C00051', 'C00194']",['C11347'],['25974']
2.5.1.16,"['C01137', 'C00134']","['C00170', 'C00315']",['6723']
2.5.1.17,"['C00002', 'C00541', 'C03024', 'C06504']","['C00536', 'C00194', 'C03161', 'C06506']",['326625']
2.5.1.18,"['C01322', 'C00051']","['C00462', 'C02320']","['10314', '119391', '221357', '27306', '2938', '2939', '2940', '2941', '2944', '2946', '2947', '2948', '2949', '2950', '2952', '2953', '373156', '4257', '4258', '4259', '653689', '9446']"
2.5.1.21,"['C00448', 'C00004', 'C00005', 'C00080', 'C03428']","['C00751', 'C00013', 'C00003', 'C00006', 'C03428']",['2222']
2.5.1.22,"['C01137', 'C00315']","['C00170', 'C00750']",['6611']
2.5.1.25,['C00019'],['C00170'],"['285605', '56986']"
2.5.1.26,"['C03372', 'C00339']","['C03715', 'C03129']",['8540']
2.5.1.29,"['C00448', 'C00129']","['C00013', 'C00353']",['9453']
2.5.1.39,"['C05847', 'C00156']","['C00013', 'C05848']",['27235']
2.5.1.46,"['C07281', 'C00315', 'C00003', 'C15853', 'C07281', 'C15854', 'C15854', 'C00004', 'C00080']","['C07282', 'C00986', 'C15853', 'C00004', 'C15854', 'C15854', 'C07281', 'C00003']",['1725']
2.5.1.56,"['C00074', 'C00645', 'C00001']","['C00009', 'C00270']",['54187']
2.5.1.57,"['C00074', 'C00686', 'C00001']","['C01200', 'C00009']",['54187']
2.5.1.58,"['C00448', 'C20119']","['C20120', 'C00013']","['100529261', '2339', '2342']"
2.5.1.59,"['C00353', 'C20119']",['C00013'],"['2339', '5229']"
2.5.1.6,"['C00002', 'C00073', 'C00001']","['C00009', 'C00013', 'C00019']","['27430', '4143', '4144']"
2.5.1.60,"['C00353', 'C20119']",['C00013'],"['5875', '5876']"
2.5.1.61,"['C00931', 'C00001']","['C01024', 'C00014']",['3145']
2.5.1.75,['C00235'],['C00013'],['54802']
2.5.1.87,"['C00448', 'C00129']","['C00013', 'C05859']","['116150', '79947']"
