enzyme,substrates,products,genes_id
1.1.1.363,"['C00092', 'C00003', 'C00006']","['C01236', 'C00004', 'C00005', 'C00080']",['2539']
1.1.1.37,"['C00149', 'C00003']","['C00036', 'C00004', 'C00080']","['4190', '4191']"
1.1.1.38,"['C00149', 'C00003', 'C00036']","['C00022', 'C00011', 'C00004']",['4200']
1.1.1.399,"['C01087', 'C00003']","['C00026', 'C00004', 'C00080']",['26227']
1.1.1.40,"['C00149', 'C00006', 'C00036']","['C00022', 'C00011', 'C00005']","['10873', '4199']"
1.1.1.41,"['C00311', 'C00003']","['C00026', 'C00011', 'C00004']","['3419', '3420', '3421']"
1.1.1.42,"['C00311', 'C00006', 'C05379']","['C00026', 'C00011', 'C00005', 'C00080', 'C05379']","['3417', '3418']"
1.1.1.428,"['C22315', 'C00003']","['C01180', 'C00004', 'C00080']","['1487', '1488']"
1.1.1.44,"['C00345', 'C00006']","['C00199', 'C00011', 'C00005', 'C00080']",['5226']
1.1.1.45,"['C00800', 'C00003']","['C00618', 'C00004', 'C00080']",['51084']
1.1.1.47,"['C00031', 'C00003', 'C00006']","['C00198', 'C00004', 'C00005', 'C00080']",['9563']
1.1.1.49,"['C00092', 'C00006']","['C01236', 'C00005', 'C00080']",['2539']
1.1.1.50,"['C03072', 'C00003', 'C00006']","['C01876', 'C00004', 'C00005', 'C00080']",['1109']
1.1.1.51,"['C00535', 'C00003', 'C00006']","['C00280', 'C00004', 'C00005', 'C00080']",['8644']
1.1.1.62,"['C00003', 'C00006']","['C00468', 'C00004', 'C00005', 'C00080']","['3292', '3294', '51144', '51478', '79154', '7923', '8630']"
1.1.1.64,"['C00535', 'C00006']","['C00280', 'C00005', 'C00080']",['3293']
1.1.1.79,"['C00160', 'C00006']","['C00048', 'C00005', 'C00080']",['9380']
1.1.1.8,"['C00093', 'C00003']","['C00111', 'C00004', 'C00080']","['23171', '2819']"
1.1.1.81,"['C00258', 'C00003', 'C00006']","['C00168', 'C00004', 'C00005', 'C00080']",['9380']
1.1.1.95,"['C00197', 'C00003']","['C03232', 'C00004', 'C00080']",['26227']
1.1.2.4,"['C00256', 'C00125']","['C00022', 'C00126', 'C00080']",['197257']
1.1.3.15,"['C15565', 'C00007']","['C00161', 'C00027']","['51179', '54363']"
1.1.5.3,"['C00093', 'C15602']","['C00111', 'C15603']",['2820']
1.1.99.1,"['C00114', 'C00028']","['C00576', 'C00030']",['55349']
1.1.99.2,"['C03196', 'C00028']","['C00026', 'C00030']",['79944']
1.1.99.24,"['C03197', 'C00026']","['C00164', 'C01087']",['137872']
1.1.99.39,"['C01087', 'C00028']","['C00026', 'C00030']",['728294']
