	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
GLT1D1	0.0180823836850607	0.019380804568930765	0.005768619015174233	0.011853446568351252	0.005353972565513744	0.0006958007753854791	0.005933397443093052	0.02213578011937582	0.030545284151766272	0.03161282753839362	0.012110372734405751	0.011110268203036533	0.018578637540108942	0.025090838062401723	0.029271735291918188	0.006167962655558893	0.008253420770412296	0.019851944128142694	0.024397871948715486	0.02434488508786908	0.01921375461054715	0.006841737669713065	0.0177750520743663	0.010323776805359078	0.01536566333273054	0.01850475596736083	0.004500414046646425	0.02408789724485812	0.018804899413004825	0.023696797766004567	0.02313454549357026	0.015831428444661184	0.018415841173216835	0.011973555295418414	0.025070821668247666	0.027373505375108034
SMC1A	0.010665663803448494	0.00929696110556108	0.014476495933447093	0.01230728336032179	0.01951406573351153	0.01481477579395946	0.00366609782143454	0.010865464726503387	0.013635736085565665	0.014671231712732656	0.029592403493300043	0.01439527896123588	0.024762121931680984	0.021290803112251733	0.006296080361128409	0.007964411646806939	0.016941014666694627	0.008116304476866877	0.027905664352437794	0.023408343536651867	0.02866449725083303	0.011656800498554215	0.011760049930772678	0.01627162019824054	0.019852818010599044	0.012641641583429765	0.012318624508253702	0.025103886771906815	0.014061821024582975	0.012729978189794397	0.009858056238496083	0.022459089271302603	0.033746560295447085	0.0034546440009629066	0.015472743193958844	0.027857382997673263
AURKB	0.006434245475529889	0.02077130835007663	0.02045500281308943	0.022080398550699626	0.02351577396732609	0.021068121809945998	0.006757123254889524	0.005122869360419014	0.0007682151638416407	0.0061880664799982546	0.010512447076399773	0.009690505376678923	0.026793557472736436	0.01156672259358916	0.008590152741882908	0.03625563979278144	0.00031310217212892483	0.003286588789058643	0.01369300730589759	0.007401477932789719	0.027251037721334675	0.0011639813456874194	0.007808958840708178	0.009569953224923317	0.015122470619060593	0.042473536798114754	0.017732112306165122	0.020222156563928843	0.007885735005831583	0.023528347455947427	0.007645838655065059	0.021357992830396164	0.02017119109283896	0.0029151411643168097	0.03140217864364415	0.011158489462307433
ETFA	0.01320329659969656	0.033667152982583715	0.016112433918074313	0.015662152359804348	0.030179901583289422	0.010566602141319001	0.019557062132558683	0.002307413909413837	0.03701481403138716	0.0018491912694796764	0.014776931239558335	0.008731272295049233	0.0034416705470567592	0.022128358913452988	0.03966271385684303	0.008763056684671089	0.02342409583155116	0.01813313382129548	0.011134335035796394	0.0016812164335236926	0.011314200341350299	0.011504340305786802	0.007701971555317083	0.017394837549940045	0.017598800814195244	0.010417411576933815	0.024357887161226225	0.018536504841446838	0.014948705925778733	0.015890241923640833	0.010317844649692154	0.014898113744433561	0.02126718969936357	0.0022453868911926234	0.018987400756996745	0.028807384262488456
KCNE3	0.018936919707134826	0.03117891145319037	0.010609460787713978	0.013878650856829575	0.014146072413375614	0.011345409984472919	0.003763818362328945	0.023873871497475812	0.02503861005495497	0.006097439170858588	0.007696350756855049	0.00993833707791371	0.016791398825383032	0.021667146417254857	0.012954874697817108	0.013565590887804915	0.019936351032586494	0.007356352996324069	0.012091176064355091	0.015077541855418463	0.015946304530778478	0.015095314522813737	0.022209173657572218	0.014568452267283085	0.03095111558155253	0.044744784809225065	0.02395148701859387	0.020337975814623	0.0030423625656303193	0.012745740745956233	0.017650814740109065	0.01319422702385616	0.011001053527570514	0.00952430290026046	0.020310135182158514	0.03314179191774889
EIF3FP3	0.013420009525045944	0.021353752233842366	0.016362948259089228	0.0099377875959967	0.013485277246565728	0.018773142339765854	0.017766547235715836	0.01512442036390569	0.024896456989206447	0.010215564680336279	0.003657478112144384	0.014798814418857291	0.026880809655840623	0.01564982645995972	0.0036631222423556984	0.01900290865418444	0.008930666580245659	0.006135297294389348	0.01138295871303722	0.02126346558345242	0.005668773451178759	0.006954643483140269	0.01700949277696769	0.03089485027771705	0.01108492108782253	0.027117015770829565	0.03669887403050797	0.014124551571527406	0.017209166562963712	0.009729766213950535	0.011514470840579511	0.026671065643868223	0.015420386312027938	0.007531627110838196	0.015623691553385466	0.0034218835433068888
ASB10	0.007883232168237901	0.020358843879779143	0.011418211404307833	0.0016226963900662173	0.009658009799410412	0.012159663956106572	0.002619806579984281	0.02438639031089112	0.032953091612483436	0.01591518661508667	0.009759618043416624	0.010732097014301546	0.012725943527549051	0.024225507435228166	0.009594094398698752	0.004747997149425503	0.023671943517365894	0.016073344620351728	0.012995510183670426	0.02965074018078942	0.0023605903461706916	0.0009017618739701678	0.031170227523973186	0.027607535399885686	0.015489691907873356	0.02369485184167688	0.011776106427235653	0.007481993988855835	0.012484059736808696	0.02846652101819605	0.004808692109737221	0.015368553454923094	0.021591945306819724	0.014882469187066039	0.02960861379066326	0.019781898061410383
UXS1	0.029257163494919938	0.011583226827937618	0.013310962394722847	0.00886076731221658	0.0043989746448905905	0.0017486528539929324	0.010141859956849677	0.01948857964335308	0.0069312599948192265	0.0241398304107887	0.024182322683401165	0.018612321434390736	0.031747739414173554	0.019633636369733226	0.001401794607349116	0.003098395343437225	0.01103354098506192	0.008181686891280867	0.024031879136427455	0.03530263952371842	0.025652485011583164	0.022237585946732696	0.022850200544991685	0.011094472088075853	0.013711308633401545	0.021607763582200134	0.007946271938897492	0.005554395988987461	0.02767666423571024	0.021677390087727358	0.005612347047996876	0.030412806170333012	0.013169360644594095	0.003930667261527039	0.01582841018729129	0.008381972661795413
SLC22A5	0.008237167587205886	0.004839378109002451	0.023459821292949993	0.02195598727585915	0.022437933578560467	0.03885950605518175	0.017081315582665246	0.02317081160793871	0.009413031424171785	0.016113698102730986	0.022896697294508356	0.01918107779058892	0.025628870805066692	0.0173933951823842	0.02857750335801189	0.008886911388998386	0.008148365391457982	0.02477070180221195	0.03816282451702563	0.028218150118277278	0.013876452065981508	0.02138535717932001	0.02585786289105174	0.020177079413405862	0.03206634919326594	0.002148672857988552	0.013017780781309838	0.007513641852319852	0.012157905676775441	0.007123365208741596	0.021631452058729427	0.006651352170574039	0.013533973241118196	0.015963154369366867	0.0026723870763261117	0.014132561787151672
TTC41P	0.013129226360067	0.01906122601635633	0.027932264646841468	0.01656706636189815	0.010784771470353545	0.02324206607504909	0.002784165183412677	0.019658566790770732	0.007838714609408461	0.024842120216505083	0.03181155387844748	0.02243285115690208	0.023606072182906595	0.013204165753874411	0.022585495752308622	0.012562613908419508	0.014803443147166164	0.012605643931421495	0.008050799599220487	0.003215164657852384	0.015646761772124693	0.016824784152945443	0.012274629156600146	0.003541883445617758	0.01119025918960968	0.008594916050858567	0.019460717947157966	0.01459371981442015	0.027267333877005952	0.010701149713119534	0.008782557656777913	0.007296654245339203	0.008667343478599945	0.0026381032974498817	0.017134071547726913	0.015169840734543694
