	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
GLT1D1	0.014556552836073785	0.05291603320607472	0.01464670736011087	0.01137555309363531	0.024670514628786618	0.04812001581214978	0.023645161633896784	0.003335273369632261	0.021819799983237385	0.014041259272568732	0.054109799866638233	0.03533665527052625	0.01724150607729105	0.012452352894908503	0.00946152430747439	0.038306200494039315	0.015394159450374206	0.010729370326616625	0.003954944650400804	0.02234305869900341	0.010220801525545527	0.0031027381136295	0.0005020973874000171	0.015489733612433075	0.01612225713447831	0.013412985901019178	0.015352427682237497	0.0011689946767094582	0.008249906692939128	0.0010143037661694055	0.01209775181957885	0.007717037451299389	0.017450905307702103	0.02264540792866997	0.008613960608644135	0.009642915460754863
SMC1A	0.0008512939238248434	0.00955178154470074	0.013469113048173283	0.028172473320665737	0.018896275270820124	0.01726790181072325	0.04539465218255902	0.008603905911875126	0.0037953699110990988	0.0004952300621471906	0.008002499410613276	0.03047996748658362	0.03162145316630486	0.03229424650949088	0.015703617684222397	0.02461721940400655	0.001673024273844173	0.01129756107024113	0.00016612647721956327	0.010525952062757832	0.03479821902695707	0.0019400898616429255	0.002445620134703972	0.034962781316402014	0.006086319633239989	0.06570023429726343	0.018522137006045422	0.013617177788403533	0.005365546585160577	0.007913222262697592	0.012782801843780889	0.013903765872924726	0.0017799000060926095	0.020426901370691964	0.044603061302339195	0.021664515904954166
AURKB	0.016948467983276587	0.012127061647179142	0.014929574737961774	0.017431858045181242	0.039974854867719206	0.05093169521707492	0.017236258269939252	0.010000360061030458	0.021380746910051502	0.0022934284685939936	0.0013566632859369466	1.7977469284494706e-06	0.028247170235869347	0.014156441833493306	0.02216114982240083	0.027663502933615566	0.010860555445990634	0.013850854092077616	0.03455847799823973	0.002762390538099948	0.009248723989711903	0.014672346580941327	0.007504850238784671	0.008070743559352488	0.026747383773091334	0.020076619905360825	0.010868528887526653	0.023685261461361285	0.00925288549845155	0.022594884982847185	0.04414146348253226	0.006946235595148705	0.005658981699986155	0.006064650954821537	0.01085996639929959	0.004919615011537234
ETFA	0.012837923765840585	0.02901252077215301	0.0016236830556242382	0.02088881065668078	0.029541259881769474	0.013402506372600338	0.0032178270762140645	0.011329825334784271	0.028851504518015055	0.00324063983999726	0.010715433132844792	0.023066122324114542	0.017364686635397877	0.01084042958349243	0.044551857583243155	0.011750585334890215	0.026481692342238104	0.002928265534343012	0.01785004200569249	0.03196437526043962	0.036576141387139424	0.01237835422355138	0.004698799828467739	0.01663120688683792	0.024290082692847933	0.018622487620199146	0.039121771205323126	0.030843649646781834	0.00589209329383784	0.006201480607504058	0.008968185954632111	0.009830263332395667	0.027459422829573765	0.007404358897575936	0.0029493802053713863	0.005398515856500346
KCNE3	0.01628051211159205	0.012645730423216959	0.01341747014720115	0.009260237184309869	0.028886796800777416	0.0217841223279453	0.007873694266877328	0.026665656885990027	0.036090945031277306	0.0012135078482894536	0.000815014580382369	0.004041694886234967	0.023416982722226858	0.020876615512011653	0.005428909529121302	0.0212102557023224	0.02637302502629856	0.00888414171323739	0.0040863645704969954	0.006541379692077475	0.04338695307796519	0.021181094439406856	0.0032909777173472593	0.008441266695984937	0.012968644486190563	0.01939872918119649	0.01620477594099033	0.047822596829211285	0.004648534898306629	0.0015148662804595563	0.016718180317539865	0.0370411828823555	0.015086905862252996	0.004023787696222005	0.016679727197600653	0.03740312587205086
EIF3FP3	0.005992239514510971	0.022838503534950264	0.027716859334782795	0.005090416827916403	0.009981322372201909	0.020297481509668647	0.010230079215230089	0.019996854866438773	0.025040099079350682	0.010850861352128755	0.04242924185406589	8.436726431161044e-06	0.01864067110737467	0.011929697377988395	0.026134177123176953	0.011351305327616839	0.009565439071739653	0.0303750199728583	0.04100285926110985	0.01831527550728474	0.018018701697329907	0.01055903792938211	0.017241277074061732	0.019867127232801752	0.01599648019440472	0.019472032751555922	0.02315870543468572	0.014060122871920922	0.0037960658388869447	0.03471106684183883	0.02699637304134328	0.015549317737411276	0.012428326353223648	0.011441685312156034	0.004639834262873032	0.01798776899949719
UXS1	0.02528914461911441	0.008428869844725571	0.007674796390861736	0.026127106221253936	0.010031672879576388	0.056480312282096504	0.028764365507177873	0.019193229659126263	0.010898414045045707	0.007354939613494028	0.005662969160046391	0.005710971898601498	0.03126976054986391	0.04885485429474074	0.010407216342248804	0.004151735849693799	0.020101310899865207	0.015449507623541536	0.028537433253426607	0.03588123225151316	0.009506988964145145	0.00926546880840816	0.0069857434755163485	0.019927883180433707	0.023058106132914917	0.0023848606118598683	0.015424056184102189	0.025296969619998874	0.007948309449176008	0.014370451079536028	0.012382081734626365	0.009321851336600101	0.017910639844559484	0.03904472163907137	0.010295766773890408	0.003925037964938714
SLC22A5	0.0016219071325023868	0.013669268883268165	0.021969620911691592	0.0017149599102278315	0.03182794714010593	0.0089117422675345	0.0006299511633479375	0.030487558625324877	0.014965949816364336	0.034776926167297384	0.029578513660924205	0.011869623356584372	0.00431787379242681	0.004221619339090626	0.06851810514556557	0.015883896900991925	0.004056871733611421	0.015027099578616601	0.011720337956787678	0.026906487945966114	0.009667816786041387	0.003788987120513472	0.00998195268678442	0.01431061836843906	0.028097484840418074	0.00685796850596604	0.03913663465907677	0.026693457026338796	0.013676859359792454	0.027189659685556082	0.011957444090731639	0.011125847991580855	0.02775815379257	0.006690280037942667	0.01654548723155343	0.043402058011114186
TTC41P	0.011814401389183068	0.01287400969308825	0.035325311576753435	0.01471492948412103	0.019038965857332023	0.015624864682565224	0.01646996565028961	0.0008650535365813997	0.006189186077057391	0.02287819880200093	0.026908668443792538	0.002588385760032397	0.00963538725394349	0.014219491671481926	0.02432488469727707	0.017692158638551465	0.027620138646351062	0.00302264164742468	0.026392581467185008	0.0048500240220512286	0.0009268262425183364	0.0018591219419104078	0.010059267515453987	0.033764429355106235	0.023705738569189255	0.036136005982588336	0.017504461571291922	0.006896032256633397	0.005579586601168124	0.004207752048876597	0.008638291026896734	0.033809580019463104	0.001885891693077262	0.029884595386610518	0.06610720725415493	0.02737391253357514
CHMP4BP1	0.014156761313178653	0.010064035171544645	0.01689323011363037	0.023347045923099146	0.022618034812553207	0.03517490351421575	0.04858781247887492	0.008072747066000408	0.02017856727947624	0.002963190882638388	0.018053044244498048	0.0033062456746119724	0.01395323890938574	0.022290998975733327	0.03923731670671505	0.02608960970187869	0.007101248068654035	0.03420410115014045	0.015344555987419512	0.006057824721837503	0.011253671730626831	0.001550144653887877	0.03937597600011793	0.020132803200792578	0.0058703890239078845	0.01977462788128131	0.01804391771949748	0.01107450792492303	0.01861149214215769	0.009004632611499617	0.03619537416870809	0.015683898887279377	0.011794310342405042	0.006713221220788198	0.03306954009315597	0.00981644522378819
