	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
TMEM126B	0.025880180587313208	0.011038903104339403	0.024823409958353363	0.02404497984967496	0.012961776814883435	0.01762203109861297	0.018282707644666198	0.019091441978312404	0.02426135729065516	0.023211395564559697	0.014506831236720003	0.016978937965960884	0.018562803157475657	0.009309015819813133	0.015498706657034976	0.017775780510025225	0.015777037569771453	0.02592553491666405	0.016666359374301217	0.013281717319005449	0.013264640075103272	0.023704134042406632	0.024633318179392953	0.019062376123832502	0.01051425364594205	0.023412720404281787	0.021590998309336026	0.016631468530221145	0.014615839290606255	0.02067465625224049	0.011023537676419434	0.010376496076061413	0.01707645276873774	0.02331732114436381
PHAX	0.01715136497883231	0.01521118424029531	0.024604810171006693	0.016600608419743586	0.006831767543127683	0.0076134446016495995	0.01325105385975311	0.01800924895987616	0.025499583535483247	0.0207902871970483	0.020953573214070948	0.014509667240094455	0.018796623219201194	0.01768453675020426	0.020602050263728282	0.019470905418449716	0.02036691580826614	0.021248307961333757	0.014296325470287126	0.017039316611402216	0.014097513445623973	0.026834500554564482	0.013042611453346644	0.018037891900649392	0.0044568633450728645	0.022426203455035744	0.02579407010682399	0.009790691567734534	0.015424347812620982	0.01689750843619227	0.013889824406243076	0.020213691387235326	0.015127644737486729	0.027024903024983303
PASK	0.02162669986229887	0.022722091193598665	0.026257437703123124	0.026562414179056807	0.004954401163711968	0.018445649045718326	0.01586709631881723	0.015514845192846466	0.01856392041978101	0.02024638352945976	0.017454404431971764	0.04310827761561982	0.011319724210947872	0.014213271412933739	0.023975556951698868	0.025082274305035696	0.014978593074433126	0.008165867984386736	0.011714478008218806	0.012644150084847951	0.026161505430545923	0.0006191129426385148	0.01622480281121915	0.023843515644873272	0.004954090615943932	0.0189219977527981	0.020693592490652175	0.019673913858406483	0.012549442374411492	0.019129542916228707	0.01635146323020985	0.01897600296281179	0.01935772871541807	0.013184829592321184
NARS2	0.01948984032565807	0.01767166351599586	0.01736766683690957	0.020486209679921104	0.010385019224735108	0.01786778052225279	0.01778291192918978	0.01109206258918013	0.018545391129696897	0.012663632127256541	0.013056207412631703	0.016830620962446908	0.014422857023223778	0.011472482114373014	0.02287931304404881	0.01675383209293558	0.017124597191798208	0.028202475445631092	0.023234851183846234	0.01476853698384687	0.014822587637366998	0.017386904506252764	0.018935042236941476	0.013828111806453177	0.00012252335606492286	0.02038218704974949	0.02151388502977088	0.005202984907940894	0.015156866054008867	0.020019857378350527	0.016229373337194403	0.009099332343599806	0.02243848730533091	0.017150430963159848
TMBIM4	0.024478027637357312	0.018269484439712394	0.022198320985845788	0.016286611025342353	0.0001580641441897621	0.02473075685632428	0.015911846166829044	0.020847864398458805	0.031344846051482994	0.025535881335804186	0.021416473216092198	0.03301795940054854	0.011183920931818317	0.018494598225173978	0.01568028517146412	0.023724053027779482	0.006505903857436101	0.010366895205706626	0.01612063144594266	0.025704618960786157	0.02027576220352713	0.019118137326002288	0.01805113351007958	0.01803352906016089	0.014855241544081093	0.019554979831043418	0.021430874819114556	0.0240539981363498	0.01044775803957695	0.02513109895449877	0.014287903444582499	0.015707387388833406	0.016360651592324058	0.023376247951863292
DHX9	0.011800988021265186	0.013002030973406088	0.017491664834979947	0.02329324512656134	0.012000800434549186	0.017040505493755607	0.01701717879716604	0.017473341363780683	0.018119659550810203	0.020493302977094664	0.013602875266255143	0.01576507105453913	0.02129022189381416	0.01139031932444478	0.01630876158337006	0.01817525442034218	0.015367704938623692	0.017764443381685726	0.022648138240560237	0.014008943847895696	0.021801475125034803	0.02344841109449676	0.02854738901338295	0.01680511496856938	0.0007394674536342758	0.019106561087813542	0.023525247696920618	0.02439136157378469	0.015256427526762163	0.016729248589145863	0.01735533135388006	0.014326944406511296	0.015596332631797681	0.0308394954774228
WDR72	0.02376049306818199	0.015192232911329274	0.015033274584002285	0.02284577199638751	0.018030713391869554	0.013172690566560397	0.016989543341019802	0.01936233808754331	0.02767113704378049	0.018874556174937582	0.02047890860471265	0.016218018462813354	0.015287297386379768	0.01551086256893001	0.015606387550448318	0.021432532365793948	0.009017264697924028	0.0216424326793043	0.015885791687582373	0.016914166094722478	0.02105426148486177	0.016403509539351373	0.01627426879812098	0.016715659706492827	0.005807432973562947	0.017842230873991602	0.020792070883399537	0.019434862593647184	0.005758650344802239	0.018607430744336257	0.018470826316173347	0.023004429334323707	0.02114129587759774	0.019232593818509437
RILPL2	0.023181340842402656	0.015684486938874437	0.02111782500548321	0.015009128337388482	0.015343237928353447	0.006356233280456625	0.014671706331134918	0.019384856801114052	0.02714347381092831	0.023589628212895734	0.027754238288683106	0.03584547830833478	0.015501387938526148	0.0245982334000952	0.019547421107731403	0.018061011627099458	0.011596432839552896	0.024867107312793676	0.02296406356275008	0.0229989263969639	0.018624560408813506	0.01365725812454577	0.01964042752714306	0.021982842138699908	0.007555722546665692	0.019145650830546132	0.031046319850055386	0.020464300535398734	0.009638034772029413	0.012861239980435616	0.013872486504617287	0.020749077511305645	0.01783498672261955	0.0157172342063965
NCOA3	0.018941874045878507	0.01736651030583867	0.022772311203097688	0.02270851953006782	0.016252230638273083	0.029769987360938395	0.016327535309461114	0.016373439493692493	0.030790320297090154	0.018644462817149356	0.012409055939070296	0.018617245704040216	0.00904279772471556	0.00910861531013468	0.018155825971838423	0.022844289345350335	0.011454259223587962	0.021354865471771362	0.008022285799005859	0.01913313760934289	0.0179152479775145	0.01845976444079039	0.013030200792730916	0.02874995796128095	0.012718077933563714	0.01747063975958027	0.0169292133727022	0.018987701293608886	0.010890181776621648	0.015882745398662284	0.005836380418676679	0.014235176264509469	0.018524042613365398	0.02726167166802634
ATP7A	0.021662898993149677	0.017174418534239864	0.027750815991806125	0.02767431935145508	0.019405532182064093	0.005619962471817585	0.014074924369347756	0.01142377201137742	0.019580059912138608	0.015760082973800237	0.014118061814280713	0.05378478767130008	0.006357256972845517	0.014020540831996045	0.00646850926572442	0.02413942788407307	0.02500830912438747	0.011145818926028951	0.0020600425799427342	0.013979485319291253	0.02674043009849123	0.010575754995218579	0.027291531578561363	0.01694452614511381	0.005978039490559705	0.010793095405501248	0.028838387885229695	0.027709785526569546	0.01763221697158284	0.020335257645196576	0.0188550791999072	0.021693020557701274	0.011259321887918953	0.009060309442758837
SLC22A14	0.025661063054471966	0.013087965901146728	0.026543246208811246	0.021665214733320073	0.018090264390780285	0.027504884974089868	0.006343789248136275	0.015129201558239212	0.016135046633697695	0.021811906980743083	0.009159047788697743	0.01634011086708904	0.018436969215334345	0.016648491637988986	0.01697432292289117	0.024201428368929932	0.008318184365360342	0.02261402171536929	0.017855008119441216	0.019967585748659766	0.01662879194665129	0.0077625348973756675	0.02031761692579466	0.022574976455131873	0.001720370277111822	0.016694182206539288	0.020429799866921033	0.01632542003136861	0.011063156132917926	0.018874830933385364	0.01374770906739058	0.020564446481426423	0.023745998868489094	0.02513505937972893
NPL	0.01930824944314252	0.011022644399426962	0.014221189305690891	0.020905615077870397	0.013704052656879153	0.019562168774231465	0.018360047980273166	0.017986148050064543	0.017541940413958373	0.009628164487301725	0.018960239943129113	0.015305939707302403	0.01504626508971335	0.017063690603206096	0.015362982705428218	0.024423697510673296	0.014467104869464726	0.022885166135699034	0.018247792743977486	0.018164008524907158	0.017349922701789255	0.020002203918832413	0.016112901668455647	0.018991960612139702	0.000751738648516911	0.016427709307420595	0.017303337691384934	0.013283879362300601	0.01076975005893774	0.02166098337445104	0.014479426742379144	0.015403760457977827	0.014821587544832369	0.023945985147267822
NUP155	0.013634632170706307	0.01780362513674079	0.021072850909376977	0.028933640726164472	0.0162853175949835	0.022164910188575533	0.013243365924004392	0.02036296621791093	0.018381842076833698	0.015387631306690061	0.021492232793711333	0.01707256130078708	0.014062551890529077	0.018812774211748252	0.009658501039422313	0.022445643031217384	0.01448607406789963	0.015185349149294092	0.013707528117459596	0.016862723338930876	0.025301383775948264	0.02497693629149011	0.021910267750885767	0.013367641159397904	0.013385641233520477	0.02079172588759575	0.016949728545194352	0.013208329999149627	0.004978530431771745	0.020655150242696346	0.023156946409384902	0.020361897099334527	0.022477966986005474	0.0222194821466003
TRIM41	0.01421409409932596	0.01586134941572498	0.023317874011014185	0.02167028057395224	0.01309058821706868	0.024201173527281055	0.012322618678205383	0.016217293229301263	0.016239644956325325	0.01875153386576272	0.010807581515585753	0.015141616826427406	0.013620091909502944	0.019971188165206242	0.019968198972166774	0.020497003837228054	0.0023251807847648135	0.027913812996093235	0.01819017489133707	0.026705003481326428	0.018778777791148137	0.019535777827509707	0.027912747188467722	0.02069475482793705	0.005048902891058272	0.012948010938930013	0.02011212592925018	0.020318445897900092	0.011106276648084947	0.017327016714722986	0.012487430520792151	0.019541051018437845	0.014938016488384621	0.012762472961889091
ANKRD65	0.018378653858053155	0.013457359903131611	0.015074075237616322	0.01080796281942992	0.013959025270456386	0.025672988944169986	0.019118555665307898	0.024889906778519783	0.0222760555408267	0.023994292400800955	0.0187176857078525	0.0148859870896512	0.020243055123903283	0.015794837944218765	0.014228601607355345	0.02282707904657605	0.013115006682049866	0.019045325752466834	0.02035679618899578	0.023171009816748755	0.01206625196060106	0.02049486037163947	0.0145088807904983	0.020909280686664432	0.013094864984742816	0.02190065989765574	0.02220303030025504	0.020681142966176284	0.01191588636503826	0.018948791471205446	0.015147849589424812	0.024639896900857532	0.020672215453653903	0.017914050095411586
COPS7A	0.02353322810073845	0.019417468170536942	0.024513332391320093	0.02244958842623596	0.015051164052645137	0.02510204434843274	0.01895843059748979	0.009587312816000157	0.030284636582423766	0.026519576182082533	0.012278720823025085	0.029532086951762546	0.029168655706182038	0.018554328019675905	0.017350378525315843	0.026066343491322874	0.024562143305419337	0.017695945035455154	0.016355117595197616	0.0260677232352663	0.01791846759678952	0.023136975110475032	0.026879904300165555	0.011859425923408598	0.030140975016650126	0.022662414832314143	0.022966662139189818	0.015939923779743764	0.014773651438346563	0.027535826348473676	0.01493815935114531	0.015643972594510114	0.02524053952658628	0.025643825045242544
LATS2	0.0197693633214751	0.010803321470508656	0.020601696231588917	0.01732048566593729	0.012574874565299005	0.020173861163557776	0.01654735512291684	0.015823619456963898	0.01578288435008697	0.009820160971455397	0.02670717777510275	0.014200870341410777	0.013620808928602712	0.018950419803861564	0.017002607236261753	0.016899161760053082	0.015796823360378208	0.02201153177985848	0.026307464520151518	0.01956629453025543	0.0104280783576439	0.015408291923957205	0.018166689041048904	0.014550545255490542	0.007922714864695955	0.02534149308704335	0.028084164590553715	0.016989969455762113	0.018942671063312464	0.014699026890524273	0.013789514482703788	0.02651542334095715	0.012635222726940442	0.020319424423297126
CLMN	0.013848511342250706	0.0077558646180004255	0.014599728827749807	0.009992852908729574	0.01783269228342973	0.01897495360045525	0.021262721967929363	0.017754832858428566	0.022417573735409528	0.00919103616994112	0.01982160754577799	0.02179605497543927	0.018470044026560974	0.012489172570999369	0.024805311428575998	0.024935486079992138	0.010708508498728673	0.02231076814031233	0.020359392047159367	0.01816835983911891	0.009273644693459529	0.022895052163819665	0.020018644115735555	0.014950891839270574	0.004726678743827797	0.016264388098076205	0.030361733421830333	0.02268182836254939	0.014991306765274751	0.012583311778319064	0.011589135647361594	0.021418920353729012	0.01718488395788234	0.00866159600992401
