	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
NARS2	0.029661737924169675	0.030749625056939373	0.03159170743047965	0.020561565270993752	0.01994888100054177	0.029712988481195034	0.00046110767655845644	0.032278898498976874	0.03027009168188797	0.03314573514073246	0.024579301568492917	0.026904049049617334	0.029504831247240477	0.024118442920382285	0.02965221826665398	0.024297364686537374	0.02430242619912796	0.033662188399016295	0.023066754601349704	0.027446205660870082	0.031157371650051384
PHAX	3.22525002821946e-07	0.021305223235586555	0.03675972321399285	0.009361263430831717	0.003692528267762202	0.019499134303157237	0.006360662741484726	0.03200429359979869	0.02999786294901175	0.061304566674592255	0.057835525046008876	0.018278861868406555	0.010065483167750737	0.01289293597146985	0.0008378638582619425	0.02392189311867008	0.030501468233394936	0.06714311018594728	0.00709237803570377	0.01570972011785897	0.014793303634178736
PASK	0.03588899367639034	0.029850440994860693	0.021768267687787578	0.013298152781061768	0.007067204719483042	0.015239865465729691	0.0003550820629674249	0.028166338855359855	0.03366370342010374	0.017043916488479204	0.021996649613832325	0.034708876121481075	0.0288452691849304	0.007707244295968163	0.03254723459337122	0.03831894353817753	0.030343526891338162	0.03212220153139043	0.02829943970562728	0.032786597303274295	0.025269860952463426
TMEM126B	0.030522085438880714	0.026764850273167762	0.02538437191646407	0.01295955915725476	0.018151767169625653	0.011923803479179181	0.0006526312879240795	0.020858585079055546	0.032092249609145945	0.026972601594837598	0.03756450061130899	0.04170920118227852	0.023902733031162634	0.02502040095976597	0.025741973795634625	0.02897652584293376	0.026595413175025694	0.02393883815766639	0.020693409412910403	0.03808662211420404	0.030984885941677552
DHX9	0.017457393026121475	0.018154693208169315	0.03373503048275679	0.0016574654134220647	0.01448620407234841	0.007154077281512559	0.0172529956060089	0.026145207371190755	0.024315612962942285	0.0685933912207375	0.07721911302515422	0.02869091310216218	0.019859447647323968	0.03451535960026592	0.0026546167712875463	0.001984871486934123	0.04786078475743199	0.02599105582895472	3.867582687838363e-05	0.04074153707383475	0.03491881903744367
TMBIM4	0.02857550567583941	0.02784277413618294	0.0244522251107802	0.016063541217180916	0.01112706112175973	0.0168870607388258	0.007907229804084363	0.033124438957081	0.027212041922782478	0.022183918603814242	0.02186219867160275	0.03544431028347296	0.02662939049516985	0.022583325100841004	0.026996393984902597	0.0310494240169555	0.02747769040731777	0.021624353267663744	0.03045542580110717	0.04048954892013081	0.02493379651507474
RILPL2	0.04020608526875999	0.013168080532272043	0.020469601589721748	0.004929783246619027	0.017611040373512177	0.0009179051982497815	0.00015567401072986254	0.0351225368263541	0.014296088163809681	0.05120079338893556	0.03512265069631375	0.014723089389084754	0.0015082824157876106	0.03649089599970491	0.027466448351175166	0.014735852039359471	0.03950149565191394	0.04447840907616711	0.01237814008002836	0.013474352866388935	0.016031086947031852
NCOA3	0.022934331772005587	0.024820303797954517	0.025860200283609226	0.009614287105156204	0.014499700550645546	0.01500198189210754	0.0007134814301934673	0.031876449682480136	0.02809573224357989	0.02478979719865758	0.02844542374455432	0.04308880850233154	0.020830054017603957	0.024630201072385283	0.026839295647014316	0.027075014172507267	0.02771814425961445	0.03314221392778147	0.027558114780889754	0.02679510493638257	0.022940269900234917
ATP7A	0.035917684535303376	0.027668286384861147	0.017853416195923785	0.035268018504654296	0.008074392643808121	0.018897053151125668	0.002763593387414148	0.034147536663234605	0.029250687265553625	0.018173170280763012	0.02901801710849473	0.0349779859831997	0.030779749058689805	0.02759755783390549	0.028661047212223456	0.025877793264985568	0.02870468442846003	0.02060835253270432	0.022604831222901325	0.029884994244000224	0.02271123118833039
SLC22A14	0.030625462667013898	0.021556051303663656	0.031599100715758104	0.0003202627051536666	0.013206936064842753	0.008974155795400573	0.011395917063896043	0.04508850311792561	0.020711398005461235	0.06361770647640368	0.06282762081788734	0.02510518258940323	0.005900623929629056	0.036308697811026074	0.013334269548007587	0.010718440940506039	0.03633381350423354	0.020155626366913888	0.009874052643743839	0.03494957510907636	0.029507248574935585
NUP155	0.03081295928870905	0.023128163020196976	0.022993821707750044	0.015501154856302895	0.01806708798160197	0.022682873001403432	0.001915665717325534	0.022132512980670142	0.040534661671002885	0.02895569455317423	0.017644884387408452	0.026347173526092924	0.03548398018279387	0.025220005475423145	0.04108093129659577	0.03097153942953876	0.02623189949174546	0.04612027942854377	0.026361391756130833	0.02621064053043172	0.029541605788205895
TRIM41	0.02697140579149308	0.03263176685137579	0.02454981080129906	0.020715577559685467	0.01946357293779141	0.024705138221792756	0.004137458161964152	0.03472938330923403	0.0323006464247899	0.023465778195585256	0.02830740055947432	0.031390286577101814	0.034709735172578166	0.02925426051385627	0.026298010013873663	0.029956162010145844	0.018400956151371693	0.018952363333737246	0.027856106816918334	0.037227136993793736	0.01913529839048104
COPS7A	0.029696841387149953	0.04020975581839563	4.873885861485972e-06	0.03068724129678229	0.0065669937376532745	0.02549878729325559	0.004669179155233886	0.0369522978712424	0.0288464595104447	0.016735139575349334	0.031492058335324105	0.036753570693253086	0.018351020038338155	0.023563822179511574	0.04185264350660333	0.03635790606934278	0.016158610359005104	0.03930199970026291	0.02816034375608475	0.01927162979869189	0.02685580693051871
CLMN	0.03047147025309076	0.02117600388281124	0.02842497510886104	0.0009474324781933883	0.029385044675929662	0.008816863817353504	0.00010875888857989634	0.03604128802137819	0.022846666158492047	0.06158606620552211	0.038742010444972816	0.0063692721546060515	8.521342997551492e-05	0.03826605200462213	0.02536906001809248	0.016101690644027406	0.023325129265783735	0.03875925506264565	0.013602945817112964	0.021983431524767838	0.021687142277429138
LATS2	0.03976000643583011	0.02654552277315372	0.01562993705407662	0.004054481287526396	0.012640934056147341	0.013945395609293122	0.004039367471915871	0.0319402483535124	0.020435549040552944	0.02168172584699217	0.03673928205125953	0.033607902407878934	0.033693445006825244	0.024310999982589294	0.032852932108540976	0.03145956464120193	0.030988428133082925	0.012880927284951781	0.03088184141099488	0.028567208365060433	0.020939070621900088
GPR180	0.019419917821574057	0.023561142543056312	0.027901163542297023	7.332767007177191e-06	2.4974712089115226e-06	0.02229788129257705	0.011105038554958334	0.03137468216470505	0.018992148576807703	0.062006887518066565	0.06442194751906154	0.028697670235121042	0.009340687418263363	0.029233337804408666	0.014046795342437777	0.012662277907048687	0.033778132557051394	0.022685299598117773	0.01070113037880174	0.03750041984359195	0.029242582257600916
ATF4	0.0398208898840109	0.017119271494425273	0.02910813003052573	0.02402040467163625	0.019366814301890196	0.021357881514210454	0.003178839404353986	0.018536125952636758	0.03637266526330747	0.021675852847293176	0.017417279430690828	0.03497797509094381	0.02685726796670947	0.027281819535745655	0.035361769402539635	0.03326078333172871	0.03020404610395555	0.0395134801814545	0.034423319153580434	0.03097406388527002	0.027308578190084642
RAB2A	0.0309787284465196	0.0222802012147501	0.03216178402473564	0.01509645029379791	0.01883468013901902	0.009559269827178717	0.0007259199390069155	0.031688674808631204	0.03751686139331172	0.02295719095823295	0.015895897480458877	0.019493370076289405	0.01852336113130079	0.02866932140614688	0.04246636744408714	0.02516295029484263	0.0201430168351612	0.04779321819593513	0.025693698108687775	0.03902213818219047	0.02979410325002627
TAF10	0.01333632546028605	0.03000326385953089	0.027269805846548173	0.009083730301238624	0.00013555194879239586	0.003976880771264417	0.009627121859328394	0.03886891300050522	0.013286871616631743	0.06875525338276547	0.07059349314491083	0.029120965504592117	0.016922798390911053	0.03724884366821337	0.012790751173159339	0.012889225810114967	0.03952135042830105	0.019771837602694645	1.3563280245351043e-05	0.026467501163184914	0.02643563957592428
MRPL24	0.02668916669008565	0.03057463981777392	0.021742870781253875	0.018035897453485352	0.022106061726294056	0.0078308457705254	0.0007719780526317417	0.035832108195867594	0.023474176931413966	0.02615704728534996	0.0065158867058714	0.02349482684303992	0.017532055799443846	0.030824100231623557	0.022519129768482426	0.02657102948484374	0.029760937741425533	0.032070314860196354	0.028620514087479378	0.029852170479906584	0.02707008500200604
