	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
TMEM126B	0.01182008704774313	0.008575902202046829	0.023609340905053323	0.01220316776686938	0.01491349322590228	0.012144091045092122	0.0015215096429487718	0.015285782636889848	0.003159101833252759	0.01575851907169192	0.02156644247203387	0.008310548561425083	0.014442424546767666	0.02655470558071237	0.01512873103921254	0.011180735875469874	0.011663867564669883	0.022423006191568173	0.008303720588347104	0.009616527412832197	0.01730851864537235	0.024194951943125664	0.013457778005341297	0.013153875593868174	0.007040018830289926	0.0122018366559799	0.016197884446072446	0.0023484098922926114	0.017677830388105942	0.005835962625895087	0.0020588345930394034	0.013417090073394674	0.0179636376362021	0.03186639929623474	0.007627899120483449	0.005203750902689644	0.012498319702663496
PHAX	0.018637633543257124	0.018276694746702564	0.007674428744965313	0.004625128442190284	0.016642487995495274	0.012745560743957041	0.006081273170872912	0.023163939320447722	0.00010735074384522192	0.010588856169463154	0.023113111870136472	0.014444366348371013	0.00415437757399136	0.0113729557874623	0.010423500149804142	0.013508281531360463	0.01487496768133183	0.010797679739656719	0.013853471623798153	0.008275817621014644	0.0082279577855327	0.01992372873402716	0.02239338451128337	0.011935881779308865	0.014340539496029897	0.015611849856479707	0.009309862067678575	0.014644993219668449	0.021770960233603493	0.001116523570701865	0.015870469873111512	0.017910769313032877	0.005831542311593729	0.016005887048406657	0.011663462022178227	0.004612584212950933	0.015611763027103563
PASK	0.01279438855413386	0.013868288156205262	0.007801340766175593	0.004273005612438796	0.012859224595174723	0.0247333530345852	0.004905267298072146	0.016800911089854237	0.008464156809604925	0.01806959741785171	0.01960879561636597	0.014929696821635653	0.004420912418592458	0.01696527879437838	0.016317099234044403	0.018144461216247673	0.014936428632547674	0.009525349640286456	0.014849289182103608	0.014644696998348344	0.01833056487203869	0.023355658726283677	0.02332295948521563	0.018557733319175092	0.010649480762227817	0.01136340056442379	0.0107658676645879	0.014649624279919806	0.01746935512600359	0.0168791181528019	0.012449690337185546	0.010054134714010909	0.013566952062979256	0.015227054796500014	0.008829880643610661	0.01700168074428639	0.007142433059070494
MAEL	0.016480527873449457	0.01835505012798571	0.010027023604652267	0.017384403357542624	0.021794000519949907	0.014558788310147413	0.00971309703302025	0.020402103394340856	0.015392058128219338	0.023259747111801208	0.011342919742779322	0.007318608841364134	0.010927581407049917	0.021952745766463052	0.02050264270544033	0.021615246320799145	0.018593814643736446	0.005946436451661692	0.01077624881490328	0.010246491335153936	0.011822927160860064	0.014934635733978283	0.00037074200160487473	0.024721303109368833	0.011394827906193868	0.006700782297873883	0.01735274100566867	0.0047212529253690015	0.011114495017024932	0.016442723164739215	0.013271371802885708	0.01581338473833805	0.01936435955200984	0.030624671355000004	0.01337414978420927	0.008431078547922332	0.008234520419348095
NARS2	0.014602458947735503	0.01769160854926871	0.024819303680018733	0.017782708038204167	0.009584265735027932	0.009781214367843852	0.0035911090598454436	0.016822668271947342	0.0011532240181494008	0.0164711100918031	0.01937222677597319	0.01182808771963612	0.004549637925117538	0.020791227843547682	0.011931100177283547	0.00927904059948936	0.012820049379375979	0.021676294511684395	0.01611254840351798	0.01800590122223599	0.012990966774423754	0.01650067124874323	0.012249366934627184	0.016235945233945084	0.00828227595610679	0.016609389002272903	0.005486873443777264	0.008847643914647457	0.013181612434375076	0.0074378303227958225	0.02655293797417443	0.012174902084231939	0.001152271918507097	0.0120163891298732	0.01416997623819553	0.0030275702766291075	0.006071725238503201
DHX9	0.004356360858646332	0.020866122765533117	0.014898169655627624	1.8418651267684742e-05	0.012670706489804107	0.011628750738821917	0.014147602907739752	0.009626198786963396	0.007990879743523055	0.0008686552540806739	0.01971408366311577	0.013263910266632858	0.00653463314299366	0.024788589056718404	0.009998032848243589	0.014423001614232232	0.019652611044823676	0.006465504186651155	0.011412611978923093	0.017689010101777303	0.023238432275422386	0.01493438739386459	0.021685570352387648	0.0158875442396795	0.011592362533649727	0.013894129125273774	0.00934396413511036	0.007688227037494458	0.01844438668207708	0.02303412219679947	0.014554952820389834	0.00941303251065961	0.021082954071645812	0.03419320695541955	0.00858571638935546	0.004590772592770775	0.01245631275956635
TMBIM4	0.011246806479120767	0.016512327238496168	0.013038218192497569	0.01583827069230167	0.019197240580410488	0.006657220729301813	0.0022434613036160862	0.010828254895657086	0.010734946753371572	0.0070008517935916436	0.011842218171882338	0.004865726014124521	0.006316130895735866	0.023065497377749926	0.01229528480568489	0.021144506205224543	0.009212189645239038	0.009837713389664552	0.012825911200510872	0.016298234475289358	0.023905512852655998	0.018310688371125677	0.012772871297474737	0.01679086644621212	0.009373943898269706	0.015293349631586212	0.013978587495027226	0.014904124056366192	0.008729275193390739	0.022212729593158387	0.008656853527672106	0.012485602999613921	0.02474144582389988	0.022033725780165433	0.013803584484385335	0.007186156714527846	0.0044955639934042
WDR72	0.005669540525633269	0.029271560171716282	0.004146123701088558	0.0038391056895888047	0.008105656387584889	0.022154785182150406	0.00014452104621255382	0.012938499320760005	0.0031868912866644637	0.00801613986601415	0.01974502844969437	0.005218354013439777	0.010334772851024378	0.013961454818525032	0.014884116829348176	0.013163949755527439	0.00937141857534605	0.006615770771944238	0.014528341003886367	0.01706323346690346	0.018470743997164644	0.013603860509264397	0.019053026387364246	0.01472097393489057	0.012214257722740816	0.0066105338125754445	0.00989447526652244	0.013177936487708064	0.0025710176767430076	0.03468201171797384	0.019334718860171896	0.005531002405102467	0.017532578726304954	0.017014507806485415	0.010153780047940856	0.015995334116904725	0.010744564509765865
RILPL2	0.006988412909578109	0.010535360650022496	0.0147043251564188	0.01032918851712506	0.013785618576352058	0.012182677232326102	0.000862357116646482	0.010427244136237761	0.001428194341771908	0.006026977323747758	0.015063645853031825	0.012053399428200468	0.012120094433720332	0.024158186359037808	0.012077070030051242	0.01191881143638615	0.008488584953750922	0.01255096940465271	0.016005454389499168	0.01959663249471507	0.015233918827227615	0.009350504603759508	0.021809835301567295	0.013508980371365975	0.006992284735744256	0.007965629555371204	0.007037399445830591	0.007593501055611772	0.00819323316313959	0.0113423730047967	0.020252065569173482	0.014186340085781056	0.03140568910875483	0.016908235973954112	0.007213901863300088	0.0010688482655682853	0.014544255062075656
NCOA3	0.013431707323879728	0.011075494329074464	0.015553520533401283	0.013490634270494878	0.01714346231507266	0.010440485256618871	0.0023226042738491853	0.014982676165454427	0.0021576387835263106	0.014200582744850324	0.018686437504745152	0.013586376264466024	0.00824794477825736	0.015233416410321679	0.008428097981825089	0.0082055697622557	0.01524710951512998	0.01612422329772153	0.013094690324418538	0.009883815407593892	0.006833660540103877	0.01442083289268422	0.017251795003784737	0.02095655355599389	0.015704973279931818	0.020090112099356513	0.013717487067053977	0.013232200687432454	0.015271005267183486	0.010890894523200658	0.006837417109081742	0.016460958120978673	0.01744654383044894	0.01317631591100837	0.014420542587804888	0.0019002185180982147	0.018744867567108203
