genes
TMEM126B
PHAX
PASK
NARS2
TMBIM4
DHX9
WDR72
RILPL2
NCOA3
ATP7A
SLC22A14
NPL
NUP155
TRIM41
ANKRD65
COPS7A
LATS2
CLMN
ATF4
GPR180
ABHD16A
RAB2A
TAF10
ZNF350
MRPL24
B4GALT2
INF2
MT1F
HMGN1
MOB4
APTX
RNF166
JRK
SSR2
B3GNT4
ENPP5
SMOC2
ZNF232
NGB
ADCY7
ZCWPW1
MMP9
DBF4B
WSB1
LSR
GADD45GIP1
KLHL5
TMC6
NUP85
PIGH
EHBP1
NSUN5P2
TMEM208
ACOX1
FAM177A1
SNHG21
SERHL
CMTM6
ANAPC11
LIX1L
HSPH1
PKD2L2
FAM219B
PRR13
PMEPA1
CCDC160
XPR1
ZNF567
SNED1
CRTC3
ZNF253
A2M
FIZ1
CD59
ANXA2P2
CD55
OSBPL9
CALM1
SLC26A1
SEL1L3
GPN1
NECAP2
RGL1
NCOA2
PPARGC1A
PREP
MSS51
CLEC2D
CNPY2
CPXM2
PRSS35
CEP152
MSH6
DAGLA
CACNA1B
EPB41L1
TRAPPC12
KCNQ3
OSBPL2
TTC32
ADAMTS13
CFAP20
UBN1
PSMA5
SLC16A7
SHC2
IL13RA1
TMEM43
BPNT1
RBL1
KIF19
RGS12
IER5
CLDN12
BLOC1S4
EGFL7
SMC2
FAM171B
SVIP
PSIP1
SLC6A1
D2HGDH
U2AF1
TXLNB
DNAI2
SND1
PARP6
CX3CL1
MYRFL
TEX261
AVPI1
SHC4
CHPF
DCBLD1
NAA20
DNM1L
PRICKLE2
MATN2
TPK1
RANBP2
DACH1
VCP
EDF1
DFFA
ILK
WDR59
HCN3
EBF4
IFT57
ZSCAN21
ZNF12
LMNTD2
DKK4
NDUFA1
COL20A1
ATP2C1
INTS7
ZCCHC9
SLC30A4
PTPMT1
FRMD4B
CD320
DPCD
STK40
MXRA8
EED
CSNK1G2
TSPAN7
GBA2
FPGS
EXOSC5
FAM218A
BAZ2A
FAM222B
MXRA7
DNAH9
CD24
SLC22A17
KRT8
MRPS36
KPNA6
BET1
HOXB4
DCTN5
KCNQ1
GABBR1
SEC31B
KIF5B
EIF6
GYPC
HOTAIRM1
TMEM62
DUOX1
XRRA1
TPI1P1
ADARB1
CADPS
CCDC92
DOK6
ZNF767P
CDC42EP3
APBB3
NUP37
USP1
REM2
TRABD2A
STEAP2
CHERP
TSNAX
ATG9A
ERI3
NUDT7
WIPF3
CPQ
STMN3
TNRC6B
UQCRQ
KCNQ2
ELP6
EIF2A
MYH10
SCN9A
LINC00526
HSPD1P11
KLF13
QDPR
TCTN1
PERM1
RAP2A
ZNF776
PYM1
EIF3FP3
BICDL2
TUT1
SLC44A3
ARHGEF34P
AZU1
ADI1
CRMP1
VPS25
PHC1
FCGRT
VPS51
SMOX
SLC7A8
DPH6
RB1
ZNF836
MEIOC
NSUN4
RPL10
YJEFN3
RIMKLA
BIRC6
ZSWIM5
ADAMTS10
ANKRD20A5P
CHAMP1
ZDHHC19
ZNF566
ZNF135
LEMD3
ULBP1
SYTL3
NOTCH1
LSM1
CFAP100
GLCCI1
PHEX
UFM1
RPL18A
PAWR
KIF13A
FAM50A
DSCAM
ZNF408
ZBTB24
HINFP
MED15
MTMR7
LHFPL5
MEIS2
SHCBP1
AAAS
RPS27L
CAPN10
VMAC
SH3GLB1
PRPF18
DUSP18
ALDOC
ZNF22
CDR2L
ZNF362
PHF5A
HIKESHI
SNX25
RAB3GAP2
PHF12
COA6
ABHD14A
POLR2H
TMEM14DP
GSPT1
CDCA7
UBL5
CREBRF
SKA1
BAHCC1
SCD5
TMEM97
PRR14L
ZNF281
CFAP54
GRIP2
PDE6B
