	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
GLT1D1	0.0237037072764951	0.009712159369180483	0.03347546316547732	0.018834751285042157	0.012529895253041622	0.01667791794266013	0.03462523977398111	0.031772355180472736	0.015156391851613627	0.019756663466156166	0.02376248646285405	0.016872449806611647	0.0005647829967545463	0.01681712592103938	0.015063167885081594	0.01243623510651731	0.003116612296921088	0.022282547612449737	0.022003739448225087	0.013748542253511364	0.019810084805059063	0.013006697115295037	0.0071150298492588665	0.012456698993897923	0.013614927284530159	0.01544665743603202	0.01716230304096974	0.020548544032921175
AMBN	0.023450320598155862	0.04357599164688806	0.008157525594416775	0.010506230974838207	0.010951858495147269	0.012959268185180095	0.011234798163833427	0.0150304279731811	0.02492304768436	0.016257707949688942	0.05609413162100412	0.01789607565707779	0.029138195179775037	0.008317857754258704	0.02157812806639051	0.01176160108706567	0.011756060325741618	0.010395443774024024	0.005579894914390143	9.862663133350559e-08	2.5814502476906672e-05	0.011569295997606047	0.005657754978694261	0.024039460229371836	0.02624061451895237	1.1610679594193087e-05	0.04135026316842648	0.03162440378999567
SMC1A	0.024112595892823604	0.010166971655979346	0.020699546798486998	0.02021576212492363	0.02491183338607928	0.03250754187084382	0.0197325507510018	0.03238868683550554	0.0005226465231244991	0.027002934066475307	0.01790337491931217	0.011960326989124984	0.010015462469598696	0.02334270444862921	0.021341745413615748	0.021817231170595947	0.013089370550880301	0.020249128671844023	0.020267292989685378	0.021835308461445876	0.021908238414303945	0.02151749052166174	0.013390656527079032	0.025350976716969193	0.03327265622288274	0.02167315495752269	0.009408679866476772	0.010862017059473027
AURKB	0.017733810404369	0.011731497517062827	0.028682143440901958	0.014042427963472038	0.013555070647584034	0.03051635273883985	0.015260534934174862	0.018391252563139043	0.008409077414670486	0.019449612686963116	0.00956246438104615	0.030190300836810787	0.020633905453073	0.022468564867324247	0.02328303210601275	0.025122959660517516	0.02536045462105748	0.013003065370469172	0.028505447513711944	0.02224457715066214	0.02105328913793092	0.02075140088588325	0.008286898565486655	0.02523877165588796	0.02066305044620618	0.016650345805954005	0.03724252572212687	0.02010305203487551
ETFA	0.019151630427994868	0.025520695826581022	0.034058216948186136	0.02225095368803194	0.017198279158299083	0.006123814664289439	0.02865726116741878	0.011467344813646203	0.001069313336798274	0.028671485416782678	0.014828283169727214	0.013976888610537315	0.01533446688744688	0.0167168419722439	0.018564054750277944	0.012279829152500662	0.0010542859518965528	0.02471452815006531	0.023306749782775513	0.016069307839245497	0.01879200934580328	0.03269232575937721	0.009374623646542736	0.014804513243714538	0.015027483521035655	0.015624826755927409	0.023234154311438122	0.01353247665978591
EIF3FP3	0.019870104786961055	0.015807780711732392	0.029682761764549967	0.015305579409830227	0.018924735303268256	0.03498724992648457	0.019409783336063552	0.02219836931392873	0.013870000441941512	0.02172829340673585	0.019505705855832278	0.02112655726346948	0.016896795702727885	0.016142795305801465	0.02605206546026793	0.031362826421572565	0.018157565650658042	0.015373412034207614	0.02150752405201442	0.014777822708295666	0.025755350063691354	0.010121547460860716	0.014384390575554613	0.035167325667838034	0.011260412013585575	0.019244602387702335	0.009131925606388081	0.014245628787708589
UXS1	0.00031878593755826847	0.06548223283619019	0.03924475320831795	0.011384851684602737	0.017929828099548878	0.006141280294645838	0.03217124063636185	0.01801965976934839	0.004223064116133194	0.014343154111366087	0.009260602423659016	0.026824779693147664	0.01279798915559345	0.015625112994078743	0.02549978607945327	0.026728795000595412	0.01613586383222165	0.024881906264669157	0.028939824749617645	0.022792976489860412	0.013228316611928565	0.021882643851781947	0.015744465138390795	0.030066518607909112	0.013460801003446363	0.009600265570655526	0.03583459838758388	0.014220112743202364
SLC22A5	0.01869943979310533	0.01061665557470479	0.015482009991212001	0.021321634799742816	0.021127820690998552	0.03803217576992862	0.033038457491785835	0.026854252423959363	0.01658610216243683	0.021955410021864297	0.01858274731598354	0.01789290308131779	0.009440824229504237	0.019735703137886414	0.01957653622581469	0.02379937951387297	0.027147385632603924	0.023953735505587857	0.017713404766268384	0.01914630796360336	0.02366735567365622	0.02267461194716737	0.01667203584423924	0.03510546185768342	0.020698139038993917	0.021925869811556937	0.02694517838136094	0.026035135222883365
TTC41P	0.024439896075735098	0.015950226767932937	0.030819323396316597	0.019706841422439593	0.022437542148505688	0.02647030138362955	0.00966778119272587	0.022916431286682384	0.011599275318189299	0.017003445305934617	0.020421799002098406	0.024184867019141923	0.018913277205955672	0.019121243714823325	0.031911218409091835	0.0343470785670523	0.02948347844954102	0.018957032039632837	0.020298574371725872	0.025254059074526623	0.02643754521122262	0.01908710653813759	0.02446868905658157	0.035450402292969745	0.021357484626007624	0.026394681582007095	0.019129977317869	0.02606684571153646
CHMP4BP1	0.02298366702769929	0.018222092431446724	0.01728168430232404	0.019591197463811754	0.011265147732493144	0.012983522488569535	0.02808415569994647	0.0146438757090299	0.0048227166422070335	0.009014449980503233	0.025212730963791022	0.012549533430731332	0.011899306336195794	0.014939533621529026	0.03524873154504727	0.012970886138755359	0.0029963766142559844	0.0243958299724749	0.014164755518735994	0.020697752866725778	0.016710515835151436	0.01407820149078061	0.008223620287252775	0.027387789299994587	0.010995615486218075	0.013441540469423294	0.01008055046966607	0.02547865894696897
SSTR1	0.01658840531359875	0.0368883461576663	0.022783761875918056	0.01699463733994215	0.020063932371849193	0.00462174304409135	0.02156436299849564	0.016293642765512626	0.008104448105986392	0.024832210061780425	0.021142888718768568	0.017361580747022255	0.02494915981988185	0.03662727883079562	0.027566606895671707	0.029940888767453502	0.0112882209478424	0.02899135078513255	0.024007847834252062	0.021705683912778943	0.017050323707936032	0.01644132304810159	0.005384377515774117	0.015486080997690154	0.013238875864272897	0.01570466540841034	0.02616413904046163	0.01880258031305575
MEGF6	0.02175344079311725	0.045796607926267226	0.02152249800870668	0.014415208765068768	0.019934398650311328	0.013408861575722172	0.028235846924003875	0.004053054095994742	0.0004922623299134949	0.02176738624787321	0.011896093277761071	0.031260732323509746	0.029455766633415037	0.015035889358339723	0.018826524895810777	0.014923713023462463	0.008569349573740961	0.02408071685738825	0.0312343687361731	0.020368461298184815	0.022216039781677768	0.019496353385841086	0.003623885750324889	0.015527428252722481	0.01860471889402139	0.02138187292811714	0.030839239907469538	0.0054844074888027354
CDK11A	0.025729026964116167	0.007132257155116909	0.018586434781535228	0.014821361422407862	0.02519997458046964	0.036863197512251554	0.026093689817929144	0.01647077690261878	0.017389470865914955	0.02910604544937257	0.020172634275196392	0.013510961002918178	0.020846619126578047	0.02791209924673724	0.004669112896424775	0.01503024802642286	0.02357730856409078	0.01619431014975032	0.02025386763559415	0.016224708913238867	0.026222045689864908	0.02325865909816968	0.0003246088854423521	0.03288411569170939	0.02586929655859036	0.019117465843872028	0.022375374910437843	0.0193362595958363
KANSL3	0.008780512922086587	0.036575403006800844	0.027104008986231335	0.012614551275441685	0.03509542828968343	0.022504254137975525	0.03839554602206471	0.01881328755199685	0.009111584621275886	0.0248681159066352	0.02191241181173389	0.038317257212878424	0.006625286570330415	0.018419060914876374	0.0006786432578433182	0.008014170752303946	0.017049369507222318	0.023711748227832508	0.026104938625523755	0.022481502420170964	0.01545391772179087	0.01095336572172744	0.0013391261401652303	0.023684040641383606	0.010404400494251478	0.018627691597632053	0.02287214083128788	0.00791778296849224
PTP4A1	0.02079863361092113	0.00693122965824942	0.01857018433055218	0.030043805875576767	0.020707078421678973	0.010293450192311801	0.024174361587682817	0.021579352762216383	0.016877961261428213	0.026780909146937832	0.019624651401694157	0.00665941673368525	0.04129888795174826	0.00894671413513828	0.0023342016895010393	0.020834172758538164	0.009231600121827398	0.029980357555726117	0.019812841263003204	0.01712408277222856	0.011465780639631327	0.020614247110100486	0.00621771697669828	0.0001015637156594503	0.009070336678543347	0.03539948266281062	0.022882409988869153	0.02257055558766291
CENPL	0.016030373950684445	0.01669724753517185	0.015454594135209946	0.017806453844947796	0.012185061824389965	0.029100753704107668	0.021550803421438915	0.01772988698079121	0.013741468532568947	0.023594925429809635	0.020981781474278552	0.005675947980755164	0.018280383211164132	0.018305270775353513	0.030920176649808832	0.0185636609771967	0.0185217453417153	0.021187927888323296	0.03206934562570087	0.019433525081073023	0.018145956849104396	0.02380033452931223	0.003814728699234351	0.02260455229512523	0.015208124181920635	0.011892105531311885	0.020409341244732978	0.015780735631747773
CCDC160	0.01588215984290081	0.04467854989995058	0.045043154740434826	0.01795666462560251	0.020922768515916568	0.01168130452906425	0.030389887746549167	0.009194094287266655	0.002853369798828112	0.023303635024248225	0.014335778686490809	0.020239294980991352	0.008062907226446371	0.036655715303651526	0.01238500234014232	0.003553308140286101	0.009631970944797839	0.021643322395067836	0.018384303320212132	0.02905682022731687	0.018400007392131393	0.018826242019192432	0.001825114922787682	0.031128443386734764	0.018639247163251164	0.013836736109013597	0.02530397178514127	0.007827516408640114
TIMM13	0.0187321904419853	0.006726321262141011	0.02018158332651403	0.024337608988469255	0.016007330353319683	0.0026329489145255815	0.020476697662849666	0.016649649154552717	0.006976335371654754	0.016420315204926726	0.02554942063528124	0.028966718243897533	0.02651437785003296	0.02056574295982512	0.022133026844572423	0.01995653192875901	0.002499169575987708	0.023979206916502828	0.01732309867690654	0.022598970952971486	0.021173033197939485	0.019190274133594275	0.010744246000840979	0.01809452388791966	0.015775045483230835	0.023941814205490578	0.018265535634034772	0.026580211496789057
ATP2B3	0.007364363011703293	0.036722733147051156	0.023341050232473154	0.016004116375703144	0.017314592281477175	0.008554455306798802	0.009409924418043216	0.011653975259779568	0.0031700453101122573	0.024006087026166863	0.027043348389396964	0.038141965704410766	0.021255133007824292	0.010710004534378524	0.014438186003743426	0.024069597500773195	0.0009081655377063738	0.004102154346628807	0.017299976454056912	0.007889455549632824	0.013777022989174567	0.006399109801262892	0.0014179579291763687	0.01743918626445905	0.013626916491779849	0.02174945324467745	0.030736855693796163	0.015659693545068628
CALB2	0.00753709002270455	0.013241044429609727	0.022727032500701416	0.022136074565653984	0.0015926823153075526	0.008213350791544723	0.005975584850885232	0.02117817062165871	0.00014001010348926543	0.01886721249754699	0.026792939011925317	0.00241648834560749	0.027701983366217254	0.020783652855304036	0.025383215849735023	0.011389418672117221	0.004468821312346811	0.023441084002032524	0.02207987346702572	0.007096424917855245	0.024864373170571247	0.008416378332431586	0.0012356839173594044	0.012221995985461986	0.007331504738077753	0.023379446496438087	0.02197165869217452	0.016560234946989487
